name	type	latlon
Del Sol	wifi	"37.32244062,-93.1831627"
Crest Line	wifi	"37.15712649,-93.12877066"
2nd	wifi	"37.10148375,-93.26553017"
Eggendart	wifi	"37.14754486,-93.14696587"
Bunting	wifi	"37.14389195,-93.36631751"
Menomonie	wifi	"37.15415081,-93.35090232"
Cardinal	wifi	"37.21469934,-93.35328372"
Nevada	wifi	"37.09738176,-93.37725928"
Prairieview	wifi	"37.2259443,-93.33616687"
Westridge	wifi	"37.19136464,-93.32865565"
Burning Wood	wifi	"37.23845872,-93.30790907"
Del Mar	wifi	"37.28659907,-93.39545933"
Comanche	wifi	"37.23699536,-93.19368497"
Packers	wifi	"37.17438541,-93.46158788"
Sherman	wifi	"37.28649648,-93.35293853"
Bluejay	wifi	"37.09493886,-93.403469"
Buena Vista	wifi	"37.23839124,-93.14285112"
Birchwood	wifi	"37.19862316,-93.20424083"
Corry	wifi	"37.26558567,-93.17264617"
South	wifi	"37.18249157,-93.28026065"
Corscot	wifi	"37.18996696,-93.27147583"
Hoard	wifi	"37.22032364,-93.13815541"
Maple Wood	wifi	"37.09348212,-93.39574352"
8th	wifi	"37.31932735,-93.3873441"
Parkside	wifi	"37.32419986,-93.2926358"
Melvin	wifi	"37.12610632,-93.32158244"
Nevada	wifi	"37.16525155,-93.21357395"
Hintze	wifi	"37.21836353,-93.32951279"
Pankratz	wifi	"37.21341509,-93.12806093"
Oakridge	wifi	"37.25214645,-93.4319945"
Del Sol	wifi	"37.25985912,-93.24812816"
Clemons	wifi	"37.13473521,-93.28091962"
Susan	wifi	"37.16522523,-93.12617044"
Coolidge	wifi	"37.20819717,-93.36547142"
Karstens	wifi	"37.31762665,-93.20749755"
Prairie Rose	wifi	"37.11712507,-93.19126468"
American Ash	wifi	"37.28885453,-93.2919027"
Washington	wifi	"37.12108781,-93.37717755"
Holy Cross	wifi	"37.14601611,-93.26713416"
Corry	wifi	"37.11785483,-93.29801599"
Lillian	wifi	"37.33786501,-93.28983217"
Loomis	wifi	"37.14941391,-93.2005989"
Carpenter	wifi	"37.2885256,-93.18685761"
Russell	wifi	"37.142634,-93.35999755"
Springs	wifi	"37.07172652,-93.3426555"
Schiller	wifi	"37.25198034,-93.28956952"
Hermina	wifi	"37.16095844,-93.40481719"
Gale	wifi	"37.22159713,-93.25943728"
Riverside	wifi	"37.21205599,-93.21786327"
Dapin	wifi	"37.25104458,-93.2093446"
Ilene	wifi	"37.19511378,-93.21939976"
Starling	wifi	"37.17477048,-93.3718604"
Almo	wifi	"37.22262969,-93.37578302"
Kingsford	wifi	"37.23132179,-93.31950256"
Eagan	wifi	"37.32399517,-93.24091242"
Division	wifi	"37.15430489,-93.24461505"
Fisk	wifi	"37.24872174,-93.19279146"
Veith	wifi	"37.13013693,-93.41510413"
Northview	wifi	"37.21484528,-93.43616786"
Vernon	wifi	"37.26461045,-93.44236136"
Crownhardt	wifi	"37.27796671,-93.22729294"
Dexter	wifi	"37.08896031,-93.30189005"
Talisman	wifi	"37.2629597,-93.34693952"
Brentwood	wifi	"37.1864685,-93.27907088"
Tennessee	wifi	"37.30301506,-93.37849939"
Independence	wifi	"37.1872582,-93.42722756"
Victoria	wifi	"37.22504588,-93.32510066"
New Castle	wifi	"37.27096169,-93.2927564"
Monument	wifi	"37.16771242,-93.36264781"
Jenna	wifi	"37.293897,-93.14690929"
Luster	wifi	"37.23139201,-93.26551445"
6th	wifi	"37.25487765,-93.16572939"
Clarendon	wifi	"37.27938468,-93.45075424"
Glendale	wifi	"37.30051176,-93.27660541"
American Ash	wifi	"37.23962334,-93.41857218"
Chinook	wifi	"37.11189325,-93.34745842"
Doe Crossing	wifi	"37.09456487,-93.38870525"
Ryan	wifi	"37.25520257,-93.31357382"
Mcguire	wifi	"37.24407649,-93.24165124"
Chinook	wifi	"37.21477964,-93.21113532"
1st	wifi	"37.33394817,-93.30950499"
Eagan	wifi	"37.15160552,-93.23207038"
Brentwood	wifi	"37.34812363,-93.29321185"
Division	wifi	"37.29378995,-93.3546256"
Almo	wifi	"37.22978072,-93.18746182"
Sullivan	wifi	"37.27026351,-93.42650719"
Mendota	wifi	"37.17131444,-93.16173707"
Columbus	wifi	"37.08708623,-93.26168314"
Mallory	wifi	"37.09748557,-93.37449967"
Warrior	wifi	"37.2545258,-93.23993549"
Monica	wifi	"37.10296995,-93.39881991"
Jenifer	wifi	"37.26673876,-93.41766008"
Westerfield	wifi	"37.22082616,-93.43580315"
Utah	wifi	"37.21276553,-93.38905503"
Eagan	wifi	"37.22788859,-93.29266637"
Green Ridge	wifi	"37.34906227,-93.29531373"
Northridge	wifi	"37.18237221,-93.15634611"
Saint Paul	wifi	"37.10931674,-93.38010465"
Spohn	wifi	"37.30280332,-93.25574905"
Caliangt	wifi	"37.13889361,-93.18742085"
Lunder	wifi	"37.34216459,-93.22669547"
Birchwood	wifi	"37.27584668,-93.24363361"
Cardinal	wifi	"37.13871675,-93.3053788"
Carpenter	wifi	"37.13967137,-93.22978162"
Evergreen	wifi	"37.34379924,-93.30259734"
Southridge	wifi	"37.2976221,-93.15030947"
Morning	wifi	"37.12998455,-93.24979105"
Rowland	wifi	"37.16582806,-93.32407864"
Prairieview	wifi	"37.34534413,-93.24995612"
Harbort	wifi	"37.09661729,-93.3912637"
Troy	wifi	"37.12854837,-93.14385525"
Lakewood Gardens	wifi	"37.13927052,-93.3584005"
Grover	wifi	"37.11261941,-93.31841639"
Magdeline	wifi	"37.27000102,-93.30213242"
Summerview	wifi	"37.17777962,-93.29142043"
Badeau	wifi	"37.2666528,-93.14645267"
Browning	wifi	"37.192374,-93.12579835"
Laurel	wifi	"37.15349161,-93.22041579"
School	wifi	"37.17355515,-93.46229298"
Meadow Vale	wifi	"37.07542049,-93.32130933"
Mcguire	wifi	"37.22860461,-93.30665978"
Waxwing	wifi	"37.21988428,-93.44961051"
Gina	wifi	"37.30187171,-93.2003501"
Bartillon	wifi	"37.15643331,-93.35456615"
Kinsman	wifi	"37.13021945,-93.38948539"
East	wifi	"37.18194534,-93.23453016"
Ludington	wifi	"37.28003624,-93.3474184"
Burrows	wifi	"37.17965788,-93.25230394"
Eagan	wifi	"37.19719603,-93.41168536"
Warrior	wifi	"37.2578751,-93.42093765"
Paget	wifi	"37.23327478,-93.40760292"
Texas	wifi	"37.27681826,-93.19015253"
Oakridge	wifi	"37.20023204,-93.29123133"
Milwaukee	wifi	"37.25282028,-93.4061584"
Pleasure	wifi	"37.26986748,-93.29151484"
Oriole	wifi	"37.06907935,-93.2674872"
Hazelcrest	wifi	"37.10289815,-93.23759972"
Schurz	wifi	"37.23600693,-93.37076756"
Portage	wifi	"37.10691949,-93.33023475"
Cambridge	wifi	"37.25567626,-93.16198998"
Briar Crest	wifi	"37.3380037,-93.30219261"
Sugar	wifi	"37.11697604,-93.3939517"
Dryden	wifi	"37.1168057,-93.33760974"
Grover	wifi	"37.18969376,-93.1460167"
6th	wifi	"37.3058665,-93.40269072"
Northport	wifi	"37.11593186,-93.33665251"
Moland	wifi	"37.20006149,-93.46868075"
Mallard	wifi	"37.24784595,-93.27567528"
West	wifi	"37.26326281,-93.22726898"
Fairview	wifi	"37.15663163,-93.13584454"
Truax	wifi	"37.25809691,-93.40405228"
Pawling	wifi	"37.16845592,-93.38434799"
Reinke	wifi	"37.17271619,-93.18621551"
Lunder	wifi	"37.21446465,-93.19178739"
Gale	wifi	"37.08374378,-93.31678691"
Tennyson	wifi	"37.2081954,-93.26782456"
5th	wifi	"37.07573263,-93.27792871"
Waubesa	wifi	"37.28171868,-93.42450234"
Doe Crossing	wifi	"37.10698673,-93.19279919"
Utah	wifi	"37.3156518,-93.37006188"
Fisk	wifi	"37.12024654,-93.38298063"
Dorton	wifi	"37.27512748,-93.27593021"
Bartelt	wifi	"37.09228238,-93.36830929"
Buell	wifi	"37.10136106,-93.34029568"
Cardinal	wifi	"37.25661552,-93.17377567"
Beilfuss	wifi	"37.10675511,-93.35666781"
Manley	wifi	"37.25773192,-93.28214894"
Mandrake	wifi	"37.2301486,-93.35954812"
Little Fleur	wifi	"37.21837626,-93.14452526"
Annamark	wifi	"37.25175057,-93.34005073"
Corben	wifi	"37.31663896,-93.26825002"
Florence	wifi	"37.29414522,-93.30037214"
Menomonie	wifi	"37.2543841,-93.28295311"
Harbort	wifi	"37.29530881,-93.15833101"
Thackeray	wifi	"37.1607833,-93.41841231"
Maple Wood	wifi	"37.14156764,-93.38249079"
Fair Oaks	wifi	"37.12941703,-93.44054168"
Amoth	wifi	"37.2300183,-93.1202108"
Troy	wifi	"37.32761959,-93.30582105"
Lakewood	wifi	"37.28393904,-93.40648213"
Golf View	wifi	"37.30348488,-93.22281384"
Mendota	wifi	"37.15001664,-93.39170552"
Derek	wifi	"37.21326227,-93.29879317"
Jana	wifi	"37.20061754,-93.12839794"
Heffernan	wifi	"37.24080237,-93.19716279"
Maryland	wifi	"37.33399015,-93.2366051"
Milwaukee	wifi	"37.10808388,-93.26566162"
Sommers	wifi	"37.21149151,-93.18996625"
Crownhardt	wifi	"37.33300209,-93.27222769"
Calypso	wifi	"37.30467272,-93.30061348"
Springs	wifi	"37.21861409,-93.21437149"
Sheridan	wifi	"37.08819642,-93.33937674"
Dennis	wifi	"37.1299933,-93.21448289"
Monica	wifi	"37.11330463,-93.25121774"
Holmberg	wifi	"37.22442858,-93.29973378"
Glendale	wifi	"37.13037859,-93.1817762"
Barnett	wifi	"37.28342968,-93.43503726"
Thackeray	wifi	"37.19048883,-93.37741716"
Shelley	wifi	"37.22670948,-93.2706705"
Kedzie	wifi	"37.20226767,-93.3252567"
Ludington	wifi	"37.15907017,-93.42330463"
Nobel	wifi	"37.13627725,-93.20167458"
Hermina	wifi	"37.24709597,-93.32176816"
Bluejay	wifi	"37.25440815,-93.45193665"
Sunfield	wifi	"37.19138649,-93.22333424"
Granby	wifi	"37.35036298,-93.25613123"
Monument	wifi	"37.31082604,-93.23995154"
Oak Valley	wifi	"37.16228046,-93.36835697"
Forster	wifi	"37.20845622,-93.35661877"
Pleasure	wifi	"37.21415604,-93.33755547"
Lawn	wifi	"37.17942714,-93.34109989"
Maryland	wifi	"37.2434669,-93.13392364"
Heath	wifi	"37.24248254,-93.15264634"
Banding	wifi	"37.20963686,-93.37628034"
Susan	wifi	"37.08076287,-93.3661336"
Hollow Ridge	wifi	"37.27529716,-93.42466278"
Acker	wifi	"37.1623106,-93.2307656"
Shoshone	wifi	"37.14468602,-93.45464449"
Grover	wifi	"37.20513381,-93.3041395"
5th	wifi	"37.27263058,-93.21724648"
Shelley	wifi	"37.14307597,-93.4254143"
Steensland	wifi	"37.28237939,-93.18207976"
Ruskin	wifi	"37.0730755,-93.28940329"
4th	wifi	"37.28258725,-93.40675702"
Coleman	wifi	"37.13596173,-93.23883807"
Esker	wifi	"37.1385368,-93.26500429"
American Ash	wifi	"37.19558243,-93.41691148"
Dixon	wifi	"37.20052256,-93.16848063"
Maple	wifi	"37.15192416,-93.17615202"
Bobwhite	wifi	"37.22563535,-93.3217839"
Heath	wifi	"37.14283582,-93.3367126"
Ridge Oak	wifi	"37.29068428,-93.29152854"
Roxbury	wifi	"37.27545707,-93.33193377"
Barby	wifi	"37.25585595,-93.15707023"
Lien	wifi	"37.11975939,-93.18634286"
La Follette	wifi	"37.20514019,-93.39324144"
Donald	wifi	"37.20447665,-93.28886369"
Schiller	wifi	"37.14003707,-93.20599942"
Westerfield	wifi	"37.32101199,-93.19170612"
Bartillon	wifi	"37.11641817,-93.29678979"
Fairfield	wifi	"37.20421145,-93.43531318"
Weeping Birch	wifi	"37.08466465,-93.28857225"
Esker	wifi	"37.31099659,-93.22813176"
Moose	wifi	"37.20183485,-93.43507917"
Del Sol	wifi	"37.30708552,-93.34141815"
Buell	wifi	"37.15089428,-93.13866691"
Cottonwood	wifi	"37.25950864,-93.44743961"
Florence	wifi	"37.30380487,-93.3534816"
Hudson	wifi	"37.09912177,-93.38280496"
Pine View	wifi	"37.32616888,-93.29756124"
Chive	wifi	"37.12943932,-93.18056355"
Cambridge	wifi	"37.15543733,-93.32089006"
Moulton	wifi	"37.24080207,-93.38131181"
Donald	wifi	"37.12341509,-93.20249557"
Village	wifi	"37.11512639,-93.27144302"
Melby	wifi	"37.2289206,-93.431791"
Birchwood	wifi	"37.107327,-93.35718345"
Iowa	wifi	"37.14833664,-93.20376723"
Comanche	wifi	"37.20269644,-93.27573545"
Arapahoe	wifi	"37.34052337,-93.32115641"
Dunning	wifi	"37.30503419,-93.32050691"
Paget	wifi	"37.15482753,-93.36359679"
Pine View	wifi	"37.23998204,-93.14476637"
Grayhawk	wifi	"37.20700774,-93.12876756"
Esch	wifi	"37.15708908,-93.46144794"
Fisk	wifi	"37.24534015,-93.38000445"
Waywood	wifi	"37.2986429,-93.26154552"
Haas	wifi	"37.09231798,-93.38551809"
Eastwood	wifi	"37.29702319,-93.34421874"
Warbler	wifi	"37.2400499,-93.18341738"
Packers	wifi	"37.24413177,-93.45007312"
Holy Cross	wifi	"37.08642145,-93.2900319"
Del Mar	wifi	"37.12986236,-93.30550528"
Sage	wifi	"37.25121861,-93.34579079"
Kennedy	wifi	"37.283161,-93.18381942"
Dawn	wifi	"37.11677566,-93.17147781"
Riverside	wifi	"37.17730996,-93.21492369"
Prairieview	wifi	"37.23400883,-93.35436609"
Mockingbird	wifi	"37.27325015,-93.2026238"
Comanche	wifi	"37.13268129,-93.42668175"
Warner	wifi	"37.2331412,-93.1658454"
Moulton	wifi	"37.24805822,-93.35845536"
Clemons	wifi	"37.19626752,-93.21535351"
Grover	wifi	"37.25647176,-93.18663626"
Continental	wifi	"37.29201804,-93.17088322"
Montana	wifi	"37.07591743,-93.32375312"
Brentwood	wifi	"37.31327783,-93.23973571"
Pennsylvania	wifi	"37.23448107,-93.33267938"
Jana	wifi	"37.16153944,-93.43239931"
Sutteridge	wifi	"37.13241455,-93.27336979"
Debs	wifi	"37.26209434,-93.1413014"
Waywood	wifi	"37.27551732,-93.24565583"
Meadow Valley	wifi	"37.08246755,-93.3159424"
Sycamore	wifi	"37.13660945,-93.21901551"
Logan	wifi	"37.22443759,-93.46409091"
Carpenter	wifi	"37.28410613,-93.24007593"
Ridge Oak	wifi	"37.21471315,-93.22399164"
Lighthouse Bay	wifi	"37.17921505,-93.23235116"
Hovde	wifi	"37.10093757,-93.2023342"
Messerschmidt	wifi	"37.23351466,-93.15860734"
Forster	wifi	"37.18208253,-93.36198571"
8th	wifi	"37.26814043,-93.1734071"
New Castle	wifi	"37.23279589,-93.20376452"
Onsgard	wifi	"37.17231005,-93.15282441"
Forest Run	wifi	"37.27461973,-93.30800294"
Blackbird	wifi	"37.25992606,-93.35403967"
Prentice	wifi	"37.30269661,-93.40529818"
Talisman	wifi	"37.19305283,-93.43485518"
Ohio	wifi	"37.2159251,-93.26967758"
2nd	wifi	"37.22012928,-93.3618783"
Waywood	wifi	"37.2963186,-93.17069721"
Lakeland	wifi	"37.1351542,-93.34992481"
Acker	wifi	"37.1534378,-93.40154084"
Oriole	wifi	"37.27661732,-93.25343154"
Manley	wifi	"37.31046906,-93.37276838"
High Crossing	wifi	"37.33505629,-93.27831005"
Little Fleur	wifi	"37.23139076,-93.15552993"
Fuller	wifi	"37.24550401,-93.17332708"
Portage	wifi	"37.0967519,-93.37516065"
Sycamore	wifi	"37.15218722,-93.4075605"
Springs	wifi	"37.19574769,-93.39857579"
Hanson	wifi	"37.2340032,-93.17712882"
Prentice	wifi	"37.23595256,-93.22617006"
Surrey	wifi	"37.15217279,-93.25895235"
Armistice	wifi	"37.15889648,-93.44754319"
Merry	wifi	"37.19420642,-93.30941058"
Northport	wifi	"37.23906527,-93.22978445"
Cody	wifi	"37.08651181,-93.22100308"
Kim	wifi	"37.28355303,-93.14862364"
Schlimgen	wifi	"37.15285694,-93.24638804"
Kim	wifi	"37.26823006,-93.18342193"
Mallard	wifi	"37.15855815,-93.31759098"
Fremont	wifi	"37.13052264,-93.38982237"
Hauk	wifi	"37.29471308,-93.2768413"
Cambridge	wifi	"37.29874596,-93.30829172"
Merchant	wifi	"37.11247311,-93.23324598"
Harper	wifi	"37.32670107,-93.36560018"
Packers	wifi	"37.30842594,-93.32617621"
Caliangt	wifi	"37.10340253,-93.20981759"
Roth	wifi	"37.29740643,-93.21168124"
5th	wifi	"37.10981634,-93.21369627"
Gina	wifi	"37.27659922,-93.38534465"
4th	wifi	"37.17899324,-93.15786177"
Chive	wifi	"37.13923758,-93.16387981"
Hallows	wifi	"37.29465531,-93.36935404"
Messerschmidt	wifi	"37.33698396,-93.29178235"
Farragut	wifi	"37.2024431,-93.23694737"
Oriole	wifi	"37.26255917,-93.2516937"
Anhalt	wifi	"37.22264934,-93.20932431"
Warner	wifi	"37.13721576,-93.29339932"
Talmadge	wifi	"37.10972413,-93.28253428"
Helena	wifi	"37.30787641,-93.40673623"
Donald	wifi	"37.21890954,-93.36491285"
Maple Wood	wifi	"37.27073459,-93.20617415"
Hanover	wifi	"37.10833453,-93.32492022"
Sunbrook	wifi	"37.25745259,-93.4205564"
Mayfield	wifi	"37.10015153,-93.41070821"
Arkansas	wifi	"37.19905809,-93.39601611"
Green Ridge	wifi	"37.3193523,-93.19897645"
Clove	wifi	"37.21121427,-93.33337339"
Summit	wifi	"37.17288926,-93.16156674"
Mayer	wifi	"37.0767073,-93.28983981"
Pond	wifi	"37.3052911,-93.28804684"
Hoard	wifi	"37.1260307,-93.26100661"
Packers	wifi	"37.20369318,-93.18174384"
Golf View	wifi	"37.20785368,-93.29957885"
Shoshone	wifi	"37.31210778,-93.34442179"
Meadow Ridge	wifi	"37.21984081,-93.29149538"
Michigan	wifi	"37.19463848,-93.28779513"
Brickson Park	wifi	"37.11379312,-93.23959217"
Springview	wifi	"37.20904854,-93.28406815"
Moulton	wifi	"37.19885978,-93.36120123"
Novick	wifi	"37.24823728,-93.19287361"
Russell	wifi	"37.2221134,-93.37202675"
Buell	wifi	"37.17156403,-93.40104687"
Carberry	wifi	"37.24830356,-93.18621584"
Clyde Gallagher	wifi	"37.07849307,-93.31474545"
Declaration	wifi	"37.28999811,-93.26647583"
Bashford	wifi	"37.32414492,-93.21137797"
Cody	wifi	"37.28816297,-93.204038"
Carioca	wifi	"37.16516037,-93.26064783"
Carey	wifi	"37.17812164,-93.42944903"
Iowa	wifi	"37.18133841,-93.23402296"
Kropf	wifi	"37.26786971,-93.29575156"
Kropf	wifi	"37.20793051,-93.43856985"
Summer Ridge	wifi	"37.25356947,-93.25143149"
Claremont	wifi	"37.22379187,-93.31071393"
Pine View	wifi	"37.1207819,-93.4245349"
Vahlen	wifi	"37.20173918,-93.34901957"
Darwin	wifi	"37.31501983,-93.38706611"
Monument	wifi	"37.15409199,-93.40416058"
Warrior	wifi	"37.18894121,-93.24002003"
Ronald Regan	wifi	"37.15205638,-93.36241312"
Mayfield	wifi	"37.07266547,-93.34337488"
Portage	wifi	"37.21061642,-93.15723372"
Elka	wifi	"37.23511825,-93.16974281"
Pennsylvania	wifi	"37.16033446,-93.18935513"
Vernon	wifi	"37.31894203,-93.20995201"
Scoville	wifi	"37.26717959,-93.40179958"
Kingsford	wifi	"37.10180338,-93.17725073"
8th	wifi	"37.2686696,-93.29969824"
Barby	wifi	"37.1414828,-93.31064057"
Basil	wifi	"37.21469735,-93.46926297"
Mosinee	wifi	"37.1894994,-93.20119781"
Becker	wifi	"37.20283479,-93.3770035"
Nevada	wifi	"37.14758358,-93.28924759"
Elgar	wifi	"37.22127951,-93.30645076"
Clyde Gallagher	wifi	"37.31050109,-93.27023884"
Cardinal	wifi	"37.20482674,-93.215585"
North	wifi	"37.10669978,-93.22064815"
Fallview	wifi	"37.09353638,-93.26378554"
Debra	wifi	"37.07820831,-93.31502154"
Anhalt	wifi	"37.09280925,-93.18877823"
Merry	wifi	"37.22097016,-93.13619842"
Prentice	wifi	"37.22935094,-93.22040288"
Banding	wifi	"37.24639113,-93.34086957"
Bluejay	wifi	"37.06646536,-93.31147152"
Sauthoff	wifi	"37.29041598,-93.28509747"
Lakewood	wifi	"37.22298427,-93.32623878"
Larry	wifi	"37.16130377,-93.25401579"
Dahle	wifi	"37.15977041,-93.18946692"
Continental	wifi	"37.13205971,-93.21141589"
Thierer	wifi	"37.19006607,-93.4708443"
Northfield	wifi	"37.29717182,-93.26545233"
Kensington	wifi	"37.10741307,-93.24440147"
Prairie Rose	wifi	"37.20160833,-93.1363342"
Algoma	wifi	"37.27599778,-93.30352849"
Loeprich	wifi	"37.32648595,-93.23091746"
Eagan	wifi	"37.23589313,-93.39543441"
Thackeray	wifi	"37.33219984,-93.21146303"
Johnson	wifi	"37.1134326,-93.19034048"
Kinsman	wifi	"37.08780118,-93.2866574"
Pennsylvania	wifi	"37.1148845,-93.25639295"
David	wifi	"37.24489137,-93.33856811"
Schlimgen	wifi	"37.31887337,-93.33960106"
Mccormick	wifi	"37.16666088,-93.32788018"
Merry	wifi	"37.27576583,-93.30125685"
Talmadge	wifi	"37.12487294,-93.38781084"
Manitowish	wifi	"37.15815418,-93.41006158"
Mayfield	wifi	"37.21885108,-93.35102651"
Porter	wifi	"37.08230998,-93.29096337"
Loeprich	wifi	"37.21310499,-93.13400982"
Victoria	wifi	"37.28191534,-93.24075741"
Walton	wifi	"37.2194804,-93.16436172"
Charing Cross	wifi	"37.21542854,-93.33700093"
Mariners Cove	wifi	"37.2393589,-93.43473752"
Paget	wifi	"37.15477559,-93.23887051"
Lien	wifi	"37.23851674,-93.2213118"
Cherokee	wifi	"37.17163681,-93.4295017"
Transport	wifi	"37.28243651,-93.22307328"
Shasta	wifi	"37.33671426,-93.22690159"
Delladonna	wifi	"37.23987739,-93.25416335"
Loeprich	wifi	"37.28243234,-93.41275929"
Waywood	wifi	"37.24656279,-93.23288128"
Columbus	wifi	"37.20577253,-93.24530303"
Eastwood	wifi	"37.17209959,-93.24232467"
Dawn	wifi	"37.14063845,-93.24776507"
Prairieview	wifi	"37.21850827,-93.17424328"
Northridge	wifi	"37.2523609,-93.39154458"
Meadow Vale	wifi	"37.28462433,-93.22379712"
Pierstorff	wifi	"37.14190643,-93.1405422"
Blaine	wifi	"37.16512366,-93.33978187"
Texas	wifi	"37.09746924,-93.35276879"
Sutteridge	wifi	"37.29538281,-93.36814231"
Pawling	wifi	"37.34745977,-93.24470394"
Hermina	wifi	"37.34379089,-93.34444681"
Briar Crest	wifi	"37.12912983,-93.4376424"
Dixon	wifi	"37.21316429,-93.26224363"
Cherokee	wifi	"37.22894936,-93.13535302"
Derek	wifi	"37.3058231,-93.28042454"
Crowley	wifi	"37.1175669,-93.19908771"
Gateway	wifi	"37.29757096,-93.27613526"
Meadow Vale	wifi	"37.26042966,-93.34517366"
Morningstar	wifi	"37.16613603,-93.24577858"
Onsgard	wifi	"37.20578684,-93.11570877"
Hovde	wifi	"37.24968129,-93.32597216"
Hazelcrest	wifi	"37.27118205,-93.44576963"
Vera	wifi	"37.24242289,-93.12921163"
Walton	wifi	"37.18400045,-93.43668128"
Pankratz	wifi	"37.21521332,-93.18766821"
Esch	wifi	"37.19390293,-93.28249285"
Hoffman	wifi	"37.08914277,-93.30090351"
Del Mar	wifi	"37.18703223,-93.37129876"
Fieldstone	wifi	"37.1967276,-93.34747834"
Roth	wifi	"37.32007458,-93.18114795"
Michigan	wifi	"37.15858425,-93.42029"
Summerview	wifi	"37.15236782,-93.21753943"
Bartelt	wifi	"37.22141217,-93.16046346"
Melby	wifi	"37.1480113,-93.29566238"
Eastlawn	wifi	"37.26300084,-93.16807909"
Nobel	wifi	"37.15422234,-93.34496998"
Nevada	wifi	"37.24537324,-93.12885441"
Dixon	wifi	"37.24039334,-93.40595156"
Sunfield	wifi	"37.08316426,-93.23587559"
Fallview	wifi	"37.18677722,-93.14162615"
Division	wifi	"37.27012616,-93.36171997"
Toban	wifi	"37.32560103,-93.2932353"
4th	wifi	"37.26814751,-93.45323015"
Randy	wifi	"37.1980476,-93.11302856"
Carpenter	wifi	"37.16390052,-93.44638673"
Morning	wifi	"37.17645066,-93.22443634"
Lighthouse Bay	wifi	"37.12857321,-93.28478979"
Declaration	wifi	"37.12413586,-93.17941895"
Anthes	wifi	"37.32865131,-93.26543157"
Oxford	wifi	"37.25596933,-93.16699271"
Northland	wifi	"37.27784464,-93.32603552"
Lillian	wifi	"37.27306252,-93.25886827"
Grasskamp	wifi	"37.15652937,-93.34289249"
Loomis	wifi	"37.0892095,-93.2483483"
Ryan	wifi	"37.31365616,-93.2554586"
Lindbergh	wifi	"37.28715115,-93.39472712"
Summerview	wifi	"37.20063,-93.12807063"
Kings	wifi	"37.21266583,-93.11502605"
Summit	wifi	"37.24387971,-93.23740688"
Jay	wifi	"37.18241917,-93.22355156"
Sauthoff	wifi	"37.21645097,-93.38809083"
Memorial	wifi	"37.27055926,-93.35079748"
Everett	wifi	"37.33401041,-93.31087689"
Hudson	wifi	"37.25087266,-93.22147946"
Thompson	wifi	"37.319692,-93.19147341"
Holy Cross	wifi	"37.14773367,-93.35975372"
Oneill	wifi	"37.26383812,-93.36689724"
Eastlawn	wifi	"37.18677194,-93.33943697"
Texas	wifi	"37.09644048,-93.28382015"
Cardinal	wifi	"37.33233366,-93.28807885"
7th	wifi	"37.07967158,-93.29419588"
Maryland	wifi	"37.21784298,-93.45285457"
Stephen	wifi	"37.07710801,-93.291673"
Glacier Hill	wifi	"37.31106375,-93.26971193"
Fisk	wifi	"37.09390709,-93.28122905"
Brentwood	wifi	"37.11986954,-93.39962068"
Anhalt	wifi	"37.09296677,-93.27114603"
Warrior	wifi	"37.1789264,-93.27975551"
Elmside	wifi	"37.15719368,-93.15710919"
Gulseth	wifi	"37.20900427,-93.19601449"
Riverside	wifi	"37.11609049,-93.20719617"
Moose	wifi	"37.30189907,-93.38892488"
Moland	wifi	"37.23727775,-93.31226801"
Fisk	wifi	"37.34565241,-93.31435498"
International	wifi	"37.32162835,-93.1946796"
Maryland	wifi	"37.25619975,-93.20154767"
Paget	wifi	"37.30028377,-93.28094248"
Arkansas	wifi	"37.17748651,-93.28347378"
Kennedy	wifi	"37.08589815,-93.25841722"
Stone Corner	wifi	"37.32191851,-93.24015359"
Dennis	wifi	"37.10046801,-93.33848974"
Lindbergh	wifi	"37.25490341,-93.45060656"
Westport	wifi	"37.23104834,-93.29419535"
Maryland	wifi	"37.32448608,-93.21388795"
Kenwood	wifi	"37.22625973,-93.36019772"
Colorado	wifi	"37.2682778,-93.17569921"
Debs	wifi	"37.20034086,-93.14523041"
Doe Crossing	wifi	"37.27378539,-93.13481863"
Schurz	wifi	"37.19556078,-93.4679372"
Linden	wifi	"37.2005056,-93.19324357"
Iowa	wifi	"37.16149148,-93.29254889"
Hollow Ridge	wifi	"37.28476694,-93.19433424"
Rowland	wifi	"37.34473634,-93.32984763"
Tennyson	wifi	"37.24350025,-93.26706468"
Reindahl	wifi	"37.09832762,-93.18702548"
Parkside	wifi	"37.21544627,-93.39533087"
Onsgard	wifi	"37.18786398,-93.26022973"
Riverside	wifi	"37.25893175,-93.14420129"
Hagan	wifi	"37.28553001,-93.3704056"
Forster	wifi	"37.30761363,-93.26013484"
Melrose	wifi	"37.20952093,-93.40062658"
Vidon	wifi	"37.13879212,-93.34466586"
Steensland	wifi	"37.26386975,-93.32806745"
Aberg	wifi	"37.22464522,-93.3133405"
Barnett	wifi	"37.23283105,-93.42153658"
Lakeland	wifi	"37.18924422,-93.29570748"
Sachs	wifi	"37.29394273,-93.26422122"
Oneill	wifi	"37.27626813,-93.28559662"
Mitchell	wifi	"37.1096386,-93.36170016"
Quincy	wifi	"37.28411693,-93.28323224"
Eastwood	wifi	"37.31439693,-93.38469256"
Northwestern	wifi	"37.32149364,-93.33582357"
Thackeray	wifi	"37.18330518,-93.18302095"
